dataframe,size_mb
joined,2300.2052841186523
addconsecutivenumbers1,1768.8425750732422
vanilla.format,1767.0179824829102
joined_entities,991.4056243896484
joined_entities.mention_ids,563.3254165649414
joined_entities.mentions,559.9066619873047
joined.clean,452.9714050292969
idgeline.plot.data,433.76277923583984
skip.gram.words,389.9617919921875
retweeted,358.76866149902344
addconsecutivenumbers2,334.62442779541016
tidy.output,332.7999496459961
joined_entities.hashtag,260.98289489746094
joined_entities.url,258.30367279052734
df,231.49750518798828
words.df,231.49750518798828
bi.gram.words,226.8485565185547
addconsecutivenumbers3,200.3886260986328
df.extracted,198.56400299072266
mentions,80.84337615966797
uniques,69.35094451904297
retweet_nodes_scores,66.93384552001953
tweets.raw.df,62.73503875732422
retweeted_graph_test,53.826141357421875
uniques.reactable,44.674232482910156
st1.joined.clean,40.821693420410156
uniques.reactable.clean,39.423667907714844
specific.time.1,36.99370574951172
sourcetweet_usernames,29.97093963623047
whole_df,29.164901733398438
retweet_df,27.000717163085938
skip.gram.count,25.56775665283203
retweet_nodes,25.51940155029297
bigram.data,22.830665588378906
st1.words.df,21.733253479003906
bi.gram.count,17.783546447753906
retweet_edges,17.552139282226562
remove_duplicates_retweeted,17.09417724609375
ridgeline.plot.data,13.647293090820312
quoted,12.350685119628906
in_reply_to_usernames,11.06610107421875
remove_duplicates_uniques,8.297889709472656
sourcetweet_usernames_quoted,8.106193542480469
st1.whole_graph_centralities,7.4029083251953125
word.count,5.974578857421875
remove_duplicates_quoted,5.5037841796875
st1.tweets.raw.df,5.46209716796875
specific.time.1.extracted,4.6389923095703125
uniques_df,4.1678009033203125
st.1_edges,2.9391403198242188
skip.gram.count.st.1,2.8473968505859375
st.1_nodes,2.7743988037109375
quoted_nodes_scores,2.6778335571289062
st1.whole_df,2.6368026733398438
specific.time.1.gephi,2.5605392456054688
st.retweet_df,2.4696731567382812
hashtags.unnested.df,1.5844345092773438
mentions_df,1.559234619140625
quoted_nodes,1.021148681640625
st1.word.count,0.8947296142578125
quoted_df,0.79534912109375
replyto_df,0.74564361572265625
quoted_edges,0.61956787109375
tweet.count.heatmap,0.4840087890625
hashtag.count,0.4046783447265625
melt_df_pinargultekin,0.2430267333984375
pinargultekin,0.1821746826171875
st.mentions_df,0.1173553466796875
node.impo.df,0.1103363037109375
st1.joined.clean.filtered,0.09702301025390625
st.replyto_df,0.08196258544921875
st.quoted_df,0.03737640380859375
membership.df,0.028839111328125
test,0.0253753662109375
ridgeline.plot.data.2,0.01625823974609375
top.emoji,0.00290679931640625
st1.emoji.count,0.00289154052734375
